episode,p1h,p1_x, p1_y,p2h,p2_x, p2_y,right_of,left_of,above,below,x_clear,y_clear,cd1,cd2,aim_down,aim_left,aim_up,aim_right,p1_x_delta,p2_x_delta,p1_y_delta,p2_y_delta,action,reward,p1_score,p2_score
5077,100.0,-12.165,-3.366,78.0,-13.6,-2.5,0,1,0,1,0,1,1,3,1,0,0,0,0.0010000000000012221,0.0,1.7929999999999997,0.0,1,0,8,22
5078,100.0,-12.159,-2.764,78.0,-13.6,-2.5,0,1,0,1,0,1,0,3,0,1,0,0,0.005999999999998451,0.0,0.6020000000000003,0.0,2,0,8,22
5079,100.0,-12.146,-2.669,78.0,-13.6,-2.5,0,1,0,1,0,1,0,3,0,1,0,0,0.0129999999999999,0.0,0.09499999999999975,0.0,4,0,8,22
5080,100.0,-12.13,-3.143,78.0,-13.6,-2.5,0,1,0,1,0,1,0,2,0,0,1,0,0.016000000000000014,0.0,-0.47399999999999975,0.0,3,0,8,22
5081,100.0,-12.117,-3.778,78.0,-13.6,-2.5,0,1,0,1,0,0,0,2,1,0,0,0,0.0129999999999999,0.0,-0.6350000000000002,0.0,1,0,8,22
5082,100.0,-12.107,-4.617,78.0,-13.6,-2.5,0,1,0,1,0,0,0,2,0,0,1,0,0.010000000000001563,0.0,-0.839,0.0,3,0,8,22
5083,100.0,-12.101,-5.729,78.0,-13.6,-2.5,0,1,0,1,0,0,0,2,0,0,1,0,0.005999999999998451,0.0,-1.112,0.0,7,0,8,22
5084,100.0,-12.097,-6.58,78.0,-13.6,-2.5,0,1,0,1,0,0,0,2,0,0,1,0,0.004000000000001336,0.0,-0.851,0.0,4,0,8,22
5085,100.0,-12.136,-7.167,78.0,-13.6,-2.5,0,1,0,1,0,0,0,2,1,0,0,0,-0.0389999999999997,0.0,-0.5869999999999997,0.0,1,0,8,22
5086,100.0,-12.157,-4.903,78.0,-13.6,-2.5,0,1,0,1,0,0,0,1,1,0,0,0,-0.021000000000000796,0.0,2.2640000000000002,0.0,5,0,8,22
